loaded_nuclei,cells_per_droplet,count
15300,0,509
15300,1,89
15300,2,8
15300,3,2
15300,4,0
15300,5,0
15300,6,1
15300,7,0
15300,8,0
15300,9,0
15300,10,0
15300,11,0
15300,12,0
15300,13,0
15300,14,0
15300,15,0
15300,16,0
15300,17,0
15300,18,0
15300,19,0
15300,20,0
15300,21,0
15300,22,0
15300,23,0
15300,24,0
191250,0,263
191250,1,162
191250,2,142
191250,3,85
191250,4,39
191250,5,14
191250,6,4
191250,7,2
191250,8,0
191250,9,0
191250,10,1
191250,11,1
191250,12,0
191250,13,1
191250,14,0
191250,15,0
191250,16,0
191250,17,0
191250,18,0
191250,19,0
191250,20,0
191250,21,0
191250,22,0
191250,23,0
191250,24,0
382500,0,49
382500,1,66
382500,2,114
382500,3,146
382500,4,98
382500,5,76
382500,6,29
382500,7,26
382500,8,4
382500,9,8
382500,10,0
382500,11,0
382500,12,0
382500,13,1
382500,14,0
382500,15,0
382500,16,0
382500,17,0
382500,18,0
382500,19,0
382500,20,0
382500,21,0
382500,22,0
382500,23,0
382500,24,0
765000,0,73
765000,1,12
765000,2,25
765000,3,50
765000,4,86
765000,5,114
765000,6,97
765000,7,88
765000,8,67
765000,9,35
765000,10,21
765000,11,11
765000,12,7
765000,13,3
765000,14,3
765000,15,5
765000,16,0
765000,17,0
765000,18,0
765000,19,0
765000,20,0
765000,21,0
765000,22,0
765000,23,0
765000,24,0
1530000,0,28
1530000,1,0
1530000,2,1
1530000,3,3
1530000,4,8
1530000,5,28
1530000,6,43
1530000,7,63
1530000,8,62
1530000,9,70
1530000,10,78
1530000,11,65
1530000,12,56
1530000,13,37
1530000,14,23
1530000,15,19
1530000,16,19
1530000,17,9
1530000,18,5
1530000,19,5
1530000,20,2
1530000,21,3
1530000,22,0
1530000,23,0
1530000,24,1
